,id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,predict
0,1,30,management,single,tertiary,no,1028,no,no,cellular,4,feb,1294,2,-1,0,unknown,1
1,2,39,self-employed,single,tertiary,no,426,no,no,unknown,18,jun,1029,1,-1,0,unknown,1
2,3,38,technician,single,tertiary,no,-572,yes,yes,unknown,5,jun,26,24,-1,0,unknown,0
3,4,34,technician,single,secondary,no,-476,yes,no,unknown,27,may,92,4,-1,0,unknown,0
4,5,37,entrepreneur,married,primary,no,62,no,no,cellular,31,jul,404,2,-1,0,unknown,0
5,6,43,services,married,primary,no,574,yes,no,cellular,8,may,140,1,-1,0,unknown,0
6,7,54,technician,married,secondary,no,324,yes,no,telephone,13,may,51,1,-1,0,unknown,0
7,8,41,blue-collar,married,secondary,no,121,yes,no,cellular,13,may,16,6,176,5,other,0
8,9,52,housemaid,married,primary,no,1466,no,yes,cellular,20,nov,150,1,-1,0,unknown,0
9,10,32,management,married,secondary,no,6217,yes,yes,cellular,18,nov,486,2,181,2,failure,0
10,11,36,management,married,tertiary,no,1198,yes,no,cellular,9,apr,278,3,-1,0,unknown,0
11,12,95,retired,divorced,primary,no,2282,no,no,telephone,21,apr,207,17,-1,0,unknown,0
12,13,46,technician,married,tertiary,no,0,no,no,cellular,20,nov,531,1,167,1,failure,0
13,14,39,housemaid,married,primary,no,2460,no,no,cellular,11,jul,194,3,-1,0,unknown,0
14,15,50,entrepreneur,married,primary,no,300,yes,no,cellular,8,may,99,1,339,2,other,0
15,16,34,technician,single,secondary,no,49,no,no,cellular,7,may,393,1,351,1,failure,0
16,17,33,blue-collar,married,secondary,no,93,no,no,telephone,9,feb,211,5,-1,0,unknown,0
17,18,39,entrepreneur,married,tertiary,no,345,yes,yes,cellular,29,jul,110,3,-1,0,unknown,0
18,19,40,management,married,tertiary,no,4190,no,no,unknown,9,may,260,4,-1,0,unknown,0
19,20,28,blue-collar,single,secondary,no,802,yes,no,unknown,28,may,195,3,-1,0,unknown,0
20,21,56,blue-collar,married,primary,no,828,yes,no,cellular,14,may,214,1,349,1,failure,0
21,22,31,admin.,single,secondary,no,4388,yes,no,unknown,27,may,182,2,-1,0,unknown,0
22,23,41,unemployed,single,secondary,no,315,yes,no,telephone,14,may,28,5,-1,0,unknown,0
23,24,31,technician,married,tertiary,no,338,no,no,cellular,6,aug,184,2,-1,0,unknown,0
